剧情ID,剧情对话1类型,剧情对话1人物方位,剧情对话1人物ID,剧情对话1人物Y轴偏移值,剧情对话1人物动作,"剧情对话1人物
头部转向","剧情对话1人物
身体朝向",剧情对话1文本,语音1,剧情对话2类型,剧情对话2人物方位,剧情对话2人物ID,剧情对话2人物Y轴偏移值,剧情对话2人物动作,"剧情对话2人物
头部转向","剧情对话2人物
身体朝向",剧情对话2文本,语音2,剧情对话3类型,剧情对话3人物方位,剧情对话3人物ID,剧情对话3人物Y轴偏移值,剧情对话3人物动作,"剧情对话3人物
头部转向","剧情对话3人物
身体朝向",剧情对话3文本,语音3,剧情对话4类型,剧情对话4人物方位,剧情对话4人物ID,剧情对话4人物Y轴偏移值,剧情对话4人物动作,"剧情对话4人物
头部转向","剧情对话4人物
身体朝向",剧情对话4文本,语音4,剧情对话5类型,剧情对话5人物方位,剧情对话5人物ID,剧情对话5人物Y轴偏移值,剧情对话5人物动作,"剧情对话5人物
头部转向","剧情对话5人物
身体朝向",剧情对话5文本,语音5,剧情对话6类型,剧情对话6人物方位,剧情对话6人物ID,剧情对话6人物Y轴偏移值,剧情对话6人物动作,"剧情对话6人物
头部转向","剧情对话6人物
身体朝向",剧情对话6文本,语音6,
BliusanNMWqian,1,2,E:ST0109,0,,15,10,兄弟们此刻正忙，让我老牛来陪你们玩玩吧，好久不打架手痒得很呢！,,1,1,$:best,0,,10,-48,等等，我们意外来此并无恶意，想必可以坐下来慢慢谈谈。,,1,2,E:ST0109,0,,15,10,少废话，看我震荡波!,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusanNMWhou,1,2,E:ST0109,0,,15,10,总不打架，难免手生，你们也不要太得意。此地正在遭受危机，我劝你们还是早些离开的好！,,1,1,$:worst,0,,10,-48,危机？难道又与巴哈姆特有关？也许我们得尽快查明此地状况……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusanJMWqian,1,2,E:ST0185,0,,15,10,这里已是龙宫要地，如今龙王失踪，此地危在旦夕，希望你们不要再来添乱了！,,1,1,$:best,0,,10,-48,我们愿意提供力所能及的帮助，若此危机与巴哈姆特有关，那么我们就更需要了解此事的详情了。,,1,2,E:ST0185,0,,15,10,花果山已倾力援助，我们不需要外人帮忙，若不离开就休怪我不客气了。,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusanJMWhou,1,2,E:ST0185,0,,15,10,你们很强大，也许真的可以帮助我们。我的兄弟孙悟空被巴哈姆特控制了心智，陷入了疯魔。,,1,2,E:ST0185,0,,15,10,他打伤龙王夺取了混沌结晶导致大洋失控，请你们快去阻止他，拯救他！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusanTSGZqian,1,2,E:ST0186,0,,15,10,你们不可以再向前了，我是不会让你们去伤害孙猴子的，不伦他是傻是疯，他都是我的孙猴子！,,1,1,$:worst,0,,10,-48,我们正是前去拯救他的，你若在此阻拦，恐怕只会害了他……,,1,2,E:ST0186,0,,15,10,他们想骗我，你们也想骗我。我说了谁也不许去伤害孙猴子……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusanTSGZhou,1,1,$:king,0,,10,-48,够了，她已无法战斗！我从未见过这种为了他人奋不顾身的感情，如此奇怪……,,1,1,$:best,0,,10,-48,这是挚爱之情，美妙而危险。现在就让我们去拯救孙悟空吧.,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusanSWKqian,1,1,$:king,0,,10,-48,孙悟空，你还记得我吗?放下你的执念与疯狂，摆脱巴哈姆特的控制只能靠你自己！,,1,2,E:ST0110,0,,15,10,呔，你休想骗俺老孙！有了混沌结晶俺老孙将成为三界最强，如来老儿也奈何不了我！看棍……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusanSWKhou,1,2,E:ST0110,0,,15,10,看来…我始终无法成为最强。巴哈姆特骗了我，他骗了所有人…我做的恶将由我一肩承担。定海神针也该物尽其用了。,,1,2,E:ST0110,0,,15,10,混沌神…感谢你再次拯救了我！也许这个时代真的属于你，带上混沌结晶去永夜森林阻止巴哈姆特。,,1,1,$:king,0,,10,-48,孙悟空，希望你能再次熄灭心中的怒火，在此获得平静……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bliusixumu,2,,,0,,,,成功化解了龙宫危机后，混沌神与麾下众神根据孙悟空提供的线索来到了永夜森林。,,2,,,0,,,,在永恒黑夜笼罩之下，诡秘阴霾纠缠丛生，此处守卫也变得充满敌意！！！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bliusikaichangqian,1,2,E:13B2103,0,,15,10,列队...架盾...举矛...斯巴达们…准备迎敌！,,1,1,$:best,0,,10,-48,"等等,我们来此阻止巴哈姆特的阴谋，并不想与你们为敌。",,1,2,E:13B4103,0,,15,10,永夜森林是奥林匹斯禁地，擅闯便是重罪，准备好接受惩罚吧！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bliusikaichanghou,1,1,$:best,0,,10,-48,无意义的争斗就到此为止吧，你们战斗得很英勇！,,1,2,E:13B2103,0,,15,10,你们对此地一无所知，你们根本不知自己在犯下怎样的错误，等待你们的只有永夜的审判……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusiLTqian,1,2,E:ST0187,0,,15,10,我是夜之女神，此地由我庇护。陌生人，你们冒犯了永夜的宁静…,,1,1,$:best,0,,10,-48,对此我们怀有歉意，但阻止巴哈姆特的阴谋可能更加重要，想必你也一定知道他来此的目的吧。,,1,2,E:ST0187,0,,15,10,你们无需知晓，只要永夜笼罩，巴哈姆特势必无法成功。现在，你们也一起消逝在永夜中吧…,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusiLThou,1,1,$:king,0,,10,-48,我感受到夜色正在消散…你的力量也正在消逝…,,1,2,E:ST0187,0,,15,10,难道…...若黑夜消散，深渊之心将显现，巴哈姆特将夺取它。现在只能靠你们阻止他了…也许这就是命运吧…,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusiABLqian,1,1,$:best,0,,10,-48,永夜消散原来是你在搞鬼...快停下你的愚行，阿波罗！！！,,1,2,E:ST0145,0,,15,10,愚行？能为巴哈姆特大人服务是多么的荣幸，我的光辉终于有了完美的意义：协助新纪元的到来！哈哈哈哈哈…,,1,1,$:worst,0,,10,-48,执迷不悟，看来只能强迫你就范了。,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusiABLhou,1,2,E:ST0145,0,,15,10,你们休想阻止我，我将最后一次为巴哈姆特大人服务，我的生命光辉将献给新纪元！啊…呃啊……,,1,1,$:best,0,,10,-48,好刺眼…真是个盲目的家伙。夜色完全消散了，看来事情已很难挽回，我们需要抢先巴哈姆特找到深渊之心！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusiHYqian,1,1,$:worst,0,,10,-48,后羿，你为何在此阻挠，难道你也沦为巴哈姆特的走狗了？,,1,2,E:ST0173,0,,15,10,"巴哈姆特允诺将月亮赠予我，我思念了几千年，这是个我无法拒绝的条件。事情也只能如此了,看箭…...",,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusiHYhou,1,2,E:ST0173,0,,15,10,我败了…我再也无法见到她了……我真是太无能了……,,1,1,$:best,0,,10,-48,巴哈姆特利用了你的执念，他已耍了太多这样的把戏，多少英灵与神祇被他玩弄于手心！我们必须阻止他…,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusiAETMSqian,1,2,E:ST0002,0,,15,10,你们的执着真是令人感动！不过，有些时候执着等于愚蠢…它往往带来毁灭！不过别怕，我对你们另有安排。,,1,2,E:ST0188,0,,15,10,巴哈姆特，这里我来搞定！我父亲在西西里岛等你，带上深渊之心去那找他，别忘了你的承诺！,,1,2,E:ST0002,0,,15,10,真可惜不能陪你们玩一会了，小心这位月女神噢，她可是很强大的！哈哈哈哈哈……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliusiAETMShou,1,1,$:king,0,,10,-48,我为你感到惋惜，据我了解，与巴哈姆特做交易往往代价沉重！,,1,2,E:ST0188,0,,15,10,为了奥林匹斯，一切代价都值得付出，我的使命业已达成……,,1,1,$:king,0,,10,-48,西西里岛...看来我们得即刻踏上新征程了！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bliuwuxumu,2,,,0,,,,西西里岛的巨型火山已经苏醒。地表散发出一种来自地心的巨大力量！,,2,,,0,,,,岛上防御森严，宙斯显然已做好了抵御混沌神的准备。,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bliuwukaichangqian,1,2,E:13B4103,0,,15,10,斯巴达们，今日我们将沐浴在奥林匹斯之主的荣耀之下，阻止一切胆敢进犯的敌人！,,1,1,$:best,0,,10,-48,你们的主神早已背弃了信念，奥林匹斯已毫无荣耀可言…请你们看清事实吧！,,1,2,E:13B2103,0,,15,10,对于斯巴达，只有战斗才是真实的，收回你们的谗言，受死吧…,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Bliuwukaichanghou,1,1,$:worst,0,,10,-48,可悲的凡人，只懂得追寻自己盲目的信念…,,1,2,E:13B4103,0,,15,10,通知百夫长，继续派援军来，决不能让敌人阻碍神器的打造……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliuwuSTLPSqian,1,2,E:ST0189,0,,15,10,自闪电火之后，我已经好久没有打造如此强大的神器啦，真是让人兴奋啊！哈哈哈…,,1,1,$:best,0,,10,-48,无论你在打造什么，立即停止！独眼巨人，现在回头还来得及…否则我们只能将你毁灭!,,1,2,E:ST0189,0,,15,10,卫兵，将深渊锤柄交给赫拉，这里由我来搞定。闪电巨人想吃肉了…呃哈哈…,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliuwuSTLPShou,1,2,E:ST0189,0,,15,10,闪电永不消逝…你们无法阻止奥林匹斯的重生…哈哈哈…,,1,1,$:best,0,,10,-48,真是个难缠的家伙…留给我们的时间不多了，不伦他们有何打算，我打赌那一定不是什么好事！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliuwuBLTSqian,1,2,E:ST0190,0,,15,10,你们已经来晚了，虫子，深渊锤头已经完工！很可惜，你们的努力都是徒劳。,,1,1,$:worst,0,,10,-48,看来不能在此耽搁了，我们必须尽快前进！,,1,2,E:ST0190,0,,15,10,既然我的工作已经结束，剩下的就是娱乐时间了，我可不会轻易放走你们。,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliuwuBLTShou,1,2,E:ST0190,0,,15,10,当雷霆再起，我将重生。我保证到时你们的生命中将只剩下痛苦，呃啊啊啊……,,1,1,$:best,0,,10,-48,终于搞定了这个凶残的家伙…巨型火山那边好像有什么异动，一定将有大事发生！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliuwuHLqian,1,2,E:ST0089,0,,15,10,陌生人，一切都太迟了，我们的事业即将达成，你们已无法阻止！,,1,1,$:best,0,,10,-48,巴哈姆特究竟给了你们怎样的承诺，你们竟变得如此执迷不悟甚至不惜抛弃神祇的尊严？,,1,2,E:ST0089,0,,15,10,只要奥林匹斯能从废墟中重生，任何代价都值得付出，包括我的生命。,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliuwuHLhou,1,2,E:ST0089,0,,15,10,我失败了…但总有一天我的族人会重回奥林匹斯的家园…,,1,1,$:best,0,,10,-48,真是可悲，可能到最后他们都不会知道，导致他们家园毁灭的罪魁祸首正是巴哈姆特…,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliuwuZSqian,1,2,E:ST0090,0,,15,10,离开此地吧，陌生人！深渊之锤已经铸造完成，克洛诺斯即将苏醒。,,1,1,$:king,0,,10,-48,克洛诺斯？你们不惜一切竟然是要复活自己的敌人，这一切是为了什么？,,1,2,E:ST0090,0,,15,10,换取混沌结晶重建家园，这是巴哈姆特开出的唯一条件。是否值得...现在已经不再重要！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliuwuZShou,1,2,E:ST0090,0,,15,10,一切都已无法挽回…你们感受到深渊的愤怒了吗…,,1,1,$:king,0,,10,-48,糟糕……恐怕克洛诺斯的怒火要倾泻在我们身上了！！！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliuwuBOSSqian,1,2,E:Kronos,0,,15,10,虫子们…我将再次吞噬你们的脆弱之躯！,,1,2,E:Kronos,0,,15,10,感受塔耳塔洛斯的愤怒吧…,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
BliuwuBOSShou,1,2,E:Kronos,0,,15,10,不…...我的力量…在消逝…有人在窃取我的力量…,,1,1,$:king,0,,10,-48,我有种不好预感…阴影中隐藏着某个强大的存在！,,1,2,E:ST0002,0,,15,10,感谢你的帮助，混沌神，克洛诺斯的力量现在属于我了！你们就葬身在此吧，哈哈哈哈…,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cliuyixumu,2,,,0,,,,如今，巴哈姆特的阴影已笼罩诸界。危机日益紧迫！,,2,,,0,,,,混沌神带领麾下众神来到阿萨神域寻求奥丁的帮助，希望他能使用 全知之眼 寻找巴哈姆特的藏匿之处。,,2,,,0,,,,然而，一切并不顺利，原本正直热情的阿萨神族此刻却变得自私麻木……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cliuyikaichangqian,1,2,E:7C2020,0,,15,10,入侵者，停下你们的脚步，此处已是阿萨神域，不要引起不必要的冲突！,,1,1,$:best,0,,10,-48,我们有事求助于奥丁，你若快些让我们进去，我们也能尽早离开。,,1,2,E:7C2020,0,,15,10,口气不小，阿萨神域正在重建，岂能容你们随便打扰！拿下他们……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cliuyikaichanghou,1,2,E:7C4020,0,,15,10,入侵者已破门，通知全域，保护好混沌结晶……,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuyiFLJqian,1,2,E:ST0180,0,,15,10,混沌结晶是重建阿萨神域的关键，你们休想轻易夺走它！,,1,1,$:worst,0,,10,-48,虽然混沌结晶异常强大，但我们此行却并非为此，你们无需担心！,,1,2,E:ST0180,0,,15,10,狡辩，你们的傲慢早已说明了一切。,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuyiFLJhou,1,1,$:best,0,,10,-48,我们此行只为寻求奥丁的帮助，你们又何必如此刻薄？,,1,2,E:ST0180,0,,15,10,因为巴哈姆特，世界纷乱，神域坠天。一切谨慎都是不得已！,,1,1,$:worst,0,,10,-48,我们追随[ffb220]$P[-]正是想要团结一心阻止巴哈姆特，希望你的心中还抱有光明！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuyiTRqian,1,2,E:ST0111,0,,15,10,准备好迎战雷霆之力了吗，入侵者？,,1,1,$:best,0,,10,-48,等等，我们并无恶意，为何你们要充满敌意呢……,,1,2,E:ST0111,0,,15,10,因为我们的现行事业不可被打扰，你们必须在此止步！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuyiTRhou,1,1,$:king,0,,10,-48,阿萨神族，我们所为正义事业而来，有重要事情求助于奥丁，希望你们不要咄咄逼人！,,1,2,E:ST0111,0,,15,10,啊……我记得你！你曾经拯救过我……而且混沌结晶因你而闪烁光辉……,,1,2,E:ST0111,0,,15,10,也许……我们真的可以相信你！我会告诉奥丁你的事迹，你将为世界带来希望。,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuyiXFqian,1,1,$:best,0,,10,-48,我想你已知晓我们的来意，为何你依然在此阻挠？,,1,2,E:ST0283,0,,15,10,托尔太容易轻信别人，若你们真的是世界的希望，难道不应该接受更多的挑战吗，嘻嘻！,,1,1,$:worst,0,,10,-48,居然无法反驳，那只能应战咯！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuyiXFhou,1,2,E:ST0283,0,,15,10,战胜我不值得夸耀，奥丁会是你们的最后考验……,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuyiADqian,1,1,$:king,0,,10,-48,阿萨神王，我们远道而来，希望您能够予以帮助！,,1,2,E:ST0010,0,,15,10,你的事迹我已知晓，只要你通过我的考验，我愿将混沌结晶交由你保管并提供力所能及的帮助。,,1,1,$:king,0,,10,-48,危机紧迫，那么就请原谅我的无礼吧……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuyiADhou,1,1,$:king,0,,10,-48,阿萨神王，请兑现你的诺言吧，请用全知之眼帮我找到巴哈姆特的藏匿之处。,,1,2,E:ST0010,0,,15,10,我将全力帮助你~~~~他在米诺陶迷宫，在爱琴海。去那里找他，阻止他，拯救诸界。阿萨神族的混沌结晶现在属于你了！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cliuerxumu,2,,,0,,,,混沌神依照全知之眼的指示追踪巴哈姆特来到爱琴海，然而却遭到此地娜迦族的全力阻挠！,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cliuerkaichangqian,1,2,E:12C5012,0,,15,10,巴哈姆特大人正在此进行重要任务，若不想葬身海底就在此止步吧！,,1,1,$:best,0,,10,-48,这正是我们此行目的，看来已经没有废话的必要了……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cliuerkaichanghou,1,2,E:12C4012,0,,15,10,这场小小的胜利毫无意义，面对巴哈姆特大人，你们将毫无胜算！,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuerMDSqian,1,1,$:best,0,,10,-48,停止阻挠，美杜莎，也许我们不用伤害你。,,1,2,E:ST0105,0,,15,10,当你们化作岩石，也许就不会再口出狂言了！,,1,1,$:worst,0,,10,-48,那就只好用实力说话了。,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuerMDShou,1,1,$:best,0,,10,-48,不要再做无谓的抵抗了，告诉我们巴哈姆特来此的目的!,,1,2,E:ST0105,0,,15,10,巴哈姆特大人将给诸界带来新生，而你们在那里没有位置，哈哈哈哈……,,1,1,$:worst,0,,10,-48,难道...希望事情不像我猜想的那样……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuerHDLqian,1,2,E:ST0284,0,,15,10,"看来，美杜莎失败了！真是没用的废物，就让我海德拉陪你们玩玩吧,吼…吼…吼…",,1,1,$:best,0,,10,-48,面对野蛮的怪物无需手下留情，击杀他……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuerHDLhou,1,1,$:best,0,,10,-48,终于解决了，看来已经耽误了太多的时间。,,1,1,$:worst,0,,10,-48,我们得尽快赶往米诺陶迷宫，想必巴哈姆特已对我们的到来有所觉察了。,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuerAKLSqian,1,1,$:best,0,,10,-48,怎么，阿喀琉斯，难道你也成为巴哈姆特的傀儡了？,,1,2,E:ST0183,0,,15,10,我本就是为一场战争而生，如今我依然效忠于战争本身，我的信仰如此！,,1,1,$:worst,0,,10,-48,既然你这么渴望战斗，我们就满足你的愿望。,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuerAKLShou,1,2,E:ST0183,0,,15,10,战争女神…...将终结你们……,,1,1,$:best,0,,10,-48,难道他所说的效忠战争本身是……事情开始变得棘手了！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuerYDNqian,1,2,E:ST0184,0,,15,10,止步于此吧，巴哈姆特现在不容打扰！,,1,1,$:best,0,,10,-48,雅典娜，你身为智慧与战争的化身为何堕落如此？,,1,2,E:ST0184,0,,15,10,诸界将会重生，巴哈姆特将会铸造新的秩序，你们不会理解。来吧，感受战争本身的力量！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliuerYDNhou,1,1,$:best,0,,10,-48,雅典娜，你听信巴哈姆特的蛊惑才会落得下场，难道你还要执迷不悟吗？,,1,2,E:ST0184,0,,15,10,所谓正义，皆为虚妄，巴哈姆特的计划必须被执行……,,1,2,E:ST0002,0,,15,10,看来…我的小女神失败了！其实我并不介意陪你们玩玩，不过不是现在。给我滚到别处去吧，神~力~风~暴！！！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cliusanxumu,2,,,0,,,,经受了巨大冲击后的混沌神及其麾下众神逐渐苏醒，然而却发现自己已身处另一片海域！,,2,,,0,,,,海底摇曳，暗流激荡，前方好像有什么事情发生，众神决定一探究竟。,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cliusankaichangqian,1,2,E:12C5012,0,,15,10,你们是何人，竟敢擅闯此地，不要命了吗！,,1,1,$:worst,0,,10,-48,这里怎么还有娜迦族啊，而且口气好大啊。,,1,2,E:12C4012,0,,15,10,我们虽然是娜迦，但我们可是蛟龙后裔，你们真是太无礼了…,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cliusankaichanghou,1,1,$:king,0,,10,-48,停止这场闹剧吧，我们并无意与你们争斗。,,1,2,E:12C5012,0,,15,10,把我们打成这样还说没有恶意，我这就去找人，走着瞧！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusanNMWqian,1,2,E:ST0109,0,,15,10,兄弟们此刻正忙，让我老牛来陪你们玩玩吧，好久不打架手痒得很呢！,,1,1,$:best,0,,10,-48,等等，我们意外来此并无恶意，想必可以坐下来慢慢谈谈。,,1,2,E:ST0109,0,,15,10,少废话，看我震荡波!,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusanNMWhou,1,2,E:ST0109,0,,15,10,总不打架，难免手生，你们也不要太得意。此地正在遭受危机，我劝你们还是早些离开的好！,,1,1,$:worst,0,,10,-48,危机？难道又与巴哈姆特有关？也许我们得尽快查明此地状况……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusanJMWqian,1,2,E:ST0287,0,,15,10,这里已是龙宫要地，如今龙王失踪，此地危在旦夕，希望你们不要再来添乱了！,,1,1,$:best,0,,10,-48,我们愿意提供力所能及的帮助，若此危机与巴哈姆特有关，那么我们就更需要了解此事的详情了。,,1,2,E:ST0287,0,,15,10,花果山已倾力援助，我们不需要外人帮忙，若不离开就休怪我不客气了。,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusanJMWhou,1,2,E:ST0287,0,,15,10,你们很强大，也许真的可以帮助我们。我的兄弟孙悟空被巴哈姆特控制了心智，陷入了疯魔。,,1,2,E:ST0287,0,,15,10,他打伤龙王夺取了混沌结晶导致大洋失控，请你们快去阻止他，拯救他！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusanTSGZqian,1,2,E:ST0288,0,,15,10,你们不可以再向前了，我是不会让你们去伤害孙猴子的，不伦他是傻是疯，他都是我的孙猴子！,,1,1,$:worst,0,,10,-48,我们正是前去拯救他的，你若在此阻拦，恐怕只会害了他……,,1,2,E:ST0288,0,,15,10,他们想骗我，你们也想骗我。我说了谁也不许去伤害孙猴子……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusanTSGZhou,1,1,$:king,0,,10,-48,够了，她已无法战斗！我从未见过这种为了他人奋不顾身的感情，如此奇怪……,,1,1,$:best,0,,10,-48,这是挚爱之情，美妙而危险。现在就让我们去拯救孙悟空吧.,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusanSWKqian,1,1,$:king,0,,10,-48,孙悟空，你还记得我吗?放下你的执念与疯狂，摆脱巴哈姆特的控制只能靠你自己！,,1,2,E:ST0110,0,,15,10,呔，你休想骗俺老孙！有了混沌结晶俺老孙将成为三界最强，如来老儿也奈何不了我！看棍……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusanSWKhou,1,2,E:ST0110,0,,15,10,看来…我始终无法成为最强。巴哈姆特骗了我，他骗了所有人…我做的恶将由我一肩承担。定海神针也该物尽其用了。,,1,2,E:ST0110,0,,15,10,混沌神…感谢你再次拯救了我！也许这个时代真的属于你，带上混沌结晶去永夜森林阻止巴哈姆特。,,1,1,$:king,0,,10,-48,孙悟空，希望你能再次熄灭心中的怒火，在此获得平静……,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cliusixumu,2,,,0,,,,成功化解了龙宫危机后，混沌神与麾下众神根据孙悟空提供的线索来到了永夜森林。,,2,,,0,,,,在永恒黑夜笼罩之下，诡秘阴霾纠缠丛生，此处守卫也变得充满敌意！！！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cliusikaichangqian,1,2,E:13C2103,0,,15,10,列队...架盾...举矛...斯巴达们…准备迎敌！,,1,1,$:best,0,,10,-48,"等等,我们来此阻止巴哈姆特的阴谋，并不想与你们为敌。",,1,2,E:13C4103,0,,15,10,永夜森林是奥林匹斯禁地，擅闯便是重罪，准备好接受惩罚吧！,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Cliusikaichanghou,1,1,$:best,0,,10,-48,无意义的争斗就到此为止吧，你们战斗得很英勇！,,1,2,E:13C2103,0,,15,10,你们对此地一无所知，你们根本不知自己在犯下怎样的错误，等待你们的只有永夜的审判……,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusiLTqian,1,2,E:ST0289,0,,15,10,我是夜之女神，此地由我庇护。陌生人，你们冒犯了永夜的宁静…,,1,1,$:best,0,,10,-48,对此我们怀有歉意，但阻止巴哈姆特的阴谋可能更加重要，想必你也一定知道他来此的目的吧。,,1,2,E:ST0289,0,,15,10,你们无需知晓，只要永夜笼罩，巴哈姆特势必无法成功。现在，你们也一起消逝在永夜中吧…,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusiLThou,1,1,$:king,0,,10,-48,我感受到夜色正在消散…你的力量也正在消逝…,,1,2,E:ST0289,0,,15,10,难道…...若黑夜消散，深渊之心将显现，巴哈姆特将夺取它。现在只能靠你们阻止他了…也许这就是命运吧…,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusiABLqian,1,1,$:best,0,,10,-48,永夜消散原来是你在搞鬼...快停下你的愚行，阿波罗！！！,,1,2,E:ST0145,0,,15,10,愚行？能为巴哈姆特大人服务是多么的荣幸，我的光辉终于有了完美的意义：协助新纪元的到来！哈哈哈哈哈…,,1,1,$:worst,0,,10,-48,执迷不悟，看来只能强迫你就范了。,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusiABLhou,1,2,E:ST0145,0,,15,10,你们休想阻止我，我将最后一次为巴哈姆特大人服务，我的生命光辉将献给新纪元！啊…呃啊……,,1,1,$:best,0,,10,-48,好刺眼…真是个盲目的家伙。夜色完全消散了，看来事情已很难挽回，我们需要抢先巴哈姆特找到深渊之心！,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
CliusiHYqian,1,1,$:worst,0,,10,-48,后羿，你为何在此阻挠，难道你也沦为巴哈姆特的走狗了？,,1,2,E:ST0173,0,,15,10,"巴哈姆特允诺将月亮赠予我，我思念了几千年，这是个我无法拒绝的条件。事情也只能如此了,看箭…...",,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
